Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/DocumentReference-docref-board-response.json	362	1	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-docref-csr-fl-7744.json	334	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-docref-csr-ga-2219.json	337	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-docref-dea-AB1234567.json	345	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-docref-dea-BA7654321.json	345	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-docref-education-bs.json	347	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-docref-education-md.json	346	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-docref-training-fellowship-card.json	379	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-docref-training-residency-im.json	364	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-abem-verify.json	572	1	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-abim-verify.json	568	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-citymed-gme.json	576	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-dea-diversion.json	580	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-florida-board-verify.json	590	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-florida-csr-verify.json	588	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-heartinst-fellowships.json	596	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-state-university-registrar.json	596	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Flag-flag-license-sanction-example.json	695	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Flag-flag-license-sanction.json	693	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Organization-org-abem.json	198	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Organization-org-abim.json	197	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Organization-org-citymed-gme.json	212	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Organization-org-dea-diversion.json	196	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Organization-org-florida-csr-authority.json	245	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Organization-org-florida-medical-board.json	206	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Organization-org-heart-institute.json	200	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Organization-org-state-university-med.json	222	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-prac-boards-with-vr.json	2900	2	0	0	0	0	0	0	1	1597	0	0	0	1	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Practitioner-prac-dea-with-vr.json	4024	3	0	0	1	0	0	0	0	1902	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-prac-education-with-vr.json	2325	2	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-prac-jordan-rivera-license-only.json	1806	2	0	0	0	0	0	0	1	410	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-prac-sanction-demo.json	1559	2	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-prac-state-csr-with-vr.json	2746	1	0	0	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-prac-training-with-vr.json	4347	3	0	0	0	0	0	0	1	530	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-sanction-apply.json	718	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-alex-smith-license-2025Q1.json	666	2	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-csr-fl-7744.json	645	1	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-csr-ga-2219.json	645	1	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-dea-AB1234567.json	643	2	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-dea-BA7654321.json	643	1	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-education-bs.json	647	1	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-education-md.json	647	2	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-prac-boards-abem.json	644	1	0	0	0	0	0	0	1	219	0	0	0	0	0	0	0	0	0	1	7	6	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-prac-boards-abim.json	644	2	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-training-fellowship-card.json	678	1	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Provenance-prov-vr-training-residency-im.json	665	1	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PSVPractitioner.json	3008	3	0	146	0	0	0	0	0	81	0	0	0	0	0	0	0	2	0	0	275	1415	0	1	0	14	0	2
fsh-generated/resources/StructureDefinition-action.json	1107	1	0	21	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	41	147	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-completion-status.json	1313	2	0	27	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	43	108	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-flag-evidence.json	1469	2	0	22	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	42	83	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-flag-targetLocation.json	1371	2	0	25	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	41	79	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-psv-activity-definition.json	728	1	0	75	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	135	310	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-psv-audit-event.json	610	2	0	72	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	186	335	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-psv-endpoint.json	893	1	0	31	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	82	215	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-psv-evidence-binary.json	649	2	0	26	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	41	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-psv-evidence-document.json	987	1	0	51	1	0	0	0	0	10	0	0	1	0	0	0	0	1	0	0	112	256	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-psv-measure-report.json	634	1	0	51	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	108	245	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-psv-measure.json	586	2	0	69	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	141	329	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-psv-organization.json	852	1	0	39	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	66	161	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-psv-organizationaffiliation.json	1419	1	0	28	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	62	142	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-psv-plan-definition.json	679	2	0	83	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	180	449	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-psv-practitionerrole.json	1183	1	0	23	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	85	178	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-psv-provenance.json	937	1	0	27	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	86	184	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-psv-verification-task.json	1129	2	0	32	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	123	375	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-psv-verificationresult.json	2612	2	0	32	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	115	255	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-qualification-restriction.json	1189	1	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-qualification-specialty.json	1330	1	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	29	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-qualification-status.json	1534	2	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	52	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-training-type.json	1266	1	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	76	0	0	0	1	0	0
fsh-generated/resources/ValueSet-psv-action-vs.json	325	2	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	7	85	0	0	0	0	0	0
fsh-generated/resources/ValueSet-psv-verification-type-vs.json	379	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	59	0	0	0	1	0	0
fsh-generated/resources/ValueSet-psvVS-board-specialty.json	459	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	44	0	0	0	0	0	0
fsh-generated/resources/ValueSet-psvVS-completion-status.json	462	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	39	0	0	0	0	0	0
fsh-generated/resources/ValueSet-psvVS-dea-registrant-type.json	478	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	471	0	0	0	0	0	0
fsh-generated/resources/ValueSet-psvVS-dea-schedule.json	466	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	434	0	0	0	0	0	0
fsh-generated/resources/ValueSet-psvVS-qualification-status.json	393	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	38	0	0	0	0	0	0
fsh-generated/resources/ValueSet-psvVS-training-type.json	442	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	36	0	0	0	1	0	0
fsh-generated/resources/VerificationResult-vr-alex-smith-license-2025Q1.json	1003	1	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-csr-fl-7744.json	944	2	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-csr-ga-2219.json	944	1	0	0	0	0	0	0	1	360	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-dea-AB1234567.json	920	1	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-dea-BA7654321.json	920	2	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-education-bs.json	947	1	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	1	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-education-md.json	947	2	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-license-jordan-rivera.json	999	1	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-license-suspension.json	1537	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	41	13	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-prac-boards-abem.json	931	1	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-prac-boards-abim.json	931	1	0	0	0	0	0	0	1	383	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-training-fellowship-card.json	952	1	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/VerificationResult-vr-training-residency-im.json	938	2	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
